"INSTRUCTOR_ID","SALUTATION","FIRST_NAME","LAST_NAME","STREET_ADDRESS","ZIP","PHONE","CREATED_BY","CREATED_DATE","MODIFIED_BY","MODIFIED_DATE"
101,"Mr","Fernand","Hanks","100 East 87th","10015","2125551212","ESILVEST",02-JAN-07,"ESILVEST",02-JAN-07
102,"Mr","Tom","Wojick","518 West 120th","10025","2125551212","ESILVEST",02-JAN-07,"ESILVEST",02-JAN-07
103,"Ms","Nina","Schorin","210 West 101st","10025","2125551212","ESILVEST",02-JAN-07,"ESILVEST",02-JAN-07
104,"Mr","Gary","Pertez","34 Sixth Ave","10035","2125551212","ESILVEST",02-JAN-07,"ESILVEST",02-JAN-07
105,"Ms","Anita","Morris","34 Maiden Lane","10015","2125551212","ESILVEST",02-JAN-07,"ESILVEST",02-JAN-07
106,"Rev","Todd","Smythe","210 West 101st","10025","2125551212","ESILVEST",02-JAN-07,"ESILVEST",02-JAN-07
107,"Dr","Marilyn","Frantzen","254 Bleeker","10005","2125551212","ESILVEST",02-JAN-07,"ESILVEST",02-JAN-07
108,"Mr","Charles","Lowry","518 West 120th","10025","2125551212","ESILVEST",02-JAN-07,"ESILVEST",02-JAN-07
109,"Hon","Rick","Chow","56 10th Avenue","10015","2125551212","ESILVEST",02-JAN-07,"ESILVEST",02-JAN-07
110,"Ms","Irene","Willig","415 West 101st","","2125551212","ARISCHER",11-MAR-07,"ARISCHER",11-MAR-07
