"STUDENT_ID","SALUTATION","FIRST_NAME","LAST_NAME","STREET_ADDRESS","ZIP","PHONE","EMPLOYER","REGISTRATION_DATE","CREATED_BY","CREATED_DATE","MODIFIED_BY","MODIFIED_DATE"
167,"Mr.","Jim","Joas","53-33 192nd St.","11365","718-555-5555","Gaum, Inc.",02-FEB-07,"BROSENZWEIG",02-FEB-07,"BROSENZW",02-FEB-07
168,"Ms.","Sally","Naso","812 79th St.","07047","201-555-5555","Motors National",02-FEB-07,"BROSENZWEIG",02-FEB-07,"BROSENZW",02-FEB-07
169,"Mr.","Frantz","McLean","23-08 Newtown Ave.","11102","718-555-5555","Guenther Miller",02-FEB-07,"BROSENZWEIG",02-FEB-07,"BROSENZW",02-FEB-07
170,"Ms.","P.","Balterzar","30 Carriage Rd.","11576","718-555-5555","Parton Corp.",02-FEB-07,"BROSENZWEIG",02-FEB-07,"BROSENZW",02-FEB-07
171,"Ms.","Denise","Brownstein","104-36 196th St.","11412","718-555-5555","Nearst Corp.",02-FEB-07,"BROSENZWEIG",02-FEB-07,"BROSENZW",02-FEB-07
172,"Ms.","Maria","Arias","Box 216","11426","718-555-5555","Lising Corp.",02-FEB-07,"BROSENZWEIG",02-FEB-07,"BROSENZW",02-FEB-07
173,"Mr.","Oscar","McGill","578 E 40th ST.","11218","718-555-5555","Nearst Corp.",02-FEB-07,"BROSENZWEIG",02-FEB-07,"BROSENZW",02-FEB-07
174,"Mr.","Michael","Brown","265 Hawthorne St #2D","11225","718-555-5555","Nearst Corp.",02-FEB-07,"BROSENZWEIG",02-FEB-07,"BROSENZW",02-FEB-07
175,"Ms.","Debra","Boyce","294 East 98 St.","11212","718-555-5555","Hoare Govett, Inc.",02-FEB-07,"BROSENZWEIG",02-FEB-07,"BROSENZW",02-FEB-07
176,"Ms.","Beth","Satterfield","140 Amity St","11201","718-555-5555","Hosp. Jt. Diseases",02-FEB-07,"BROSENZWEIG",02-FEB-07,"BROSENZW",02-FEB-07
